grid,modality,embedding,discriminability
"('triple', 'median', '0.08', 'cov', '180', '6')",func,ASE,0.8539008737338591
"('kmeans', 'median', '0.08', 'cov', '180', '3')",func,ASE,0.8539166697061434
"('kmeans', 'median', '0.08', 'cov', '180', '0')",func,ASE,0.8396354575969686
"('kmeans', 'median', '0.08', 'cov', '180', '6')",func,ASE,0.8667696008697363
"('triple', 'median', '0.08', 'cov', '135', '3')",func,ASE,0.8564156057201955
"('triple', 'median', '0.08', 'cov', '135', '0')",func,ASE,0.842112055564355
"('triple', 'median', '0.08', 'cov', '135', '6')",func,ASE,0.8532275547581669
"('kmeans', 'median', '0.08', 'cov', '135', '3')",func,ASE,0.8562323831605747
"('kmeans', 'median', '0.08', 'cov', '135', '0')",func,ASE,0.8480304348567822
"('kmeans', 'median', '0.08', 'cov', '135', '6')",func,ASE,0.8644981192269969
"('triple', 'median', '0.08', 'cov', '228', '3')",func,ASE,0.8503321854052542
"('triple', 'median', '0.08', 'cov', '228', '0')",func,ASE,0.8492206781680466
"('triple', 'median', '0.08', 'cov', '228', '6')",func,ASE,0.8521810311176365
"('kmeans', 'median', '0.08', 'cov', '228', '3')",func,ASE,0.8473820697202743
"('kmeans', 'median', '0.08', 'cov', '228', '0')",func,ASE,0.8336229579920998
"('kmeans', 'median', '0.08', 'cov', '228', '6')",func,ASE,0.8649894527500447
"('triple', 'median', '0.08', 'cov', '77', '3')",func,ASE,0.8327497406254633
"('triple', 'median', '0.08', 'cov', '77', '0')",func,ASE,0.8328466374021113
"('triple', 'median', '0.08', 'cov', '77', '6')",func,ASE,0.8515333615980633
"('kmeans', 'median', '0.08', 'cov', '77', '3')",func,ASE,0.8522852739246182
"('kmeans', 'median', '0.08', 'cov', '77', '0')",func,ASE,0.846727296828443
"('kmeans', 'median', '0.08', 'cov', '77', '6')",func,ASE,0.867170817076891
"('triple', 'median', '0.08', 'partcorr', '180', '3')",func,ASE,0.8649428931328041
"('triple', 'median', '0.08', 'partcorr', '180', '0')",func,ASE,0.8673748966087677
"('triple', 'median', '0.08', 'partcorr', '180', '6')",func,ASE,0.866357768904292
"('kmeans', 'median', '0.08', 'partcorr', '180', '3')",func,ASE,0.8625166552923208
"('kmeans', 'median', '0.08', 'partcorr', '180', '0')",func,ASE,0.8543801414345504
"('kmeans', 'median', '0.08', 'partcorr', '180', '6')",func,ASE,0.8685470085470085
"('triple', 'median', '0.08', 'partcorr', '135', '3')",func,ASE,0.8706239224038576
"('triple', 'median', '0.08', 'partcorr', '135', '0')",func,ASE,0.8658493200636802
"('triple', 'median', '0.08', 'partcorr', '135', '6')",func,ASE,0.8588564993059377
"('kmeans', 'median', '0.08', 'partcorr', '135', '3')",func,ASE,0.8606612685560054
"('kmeans', 'median', '0.08', 'partcorr', '135', '0')",func,ASE,0.848941839479688
"('kmeans', 'median', '0.08', 'partcorr', '135', '6')",func,ASE,0.8625400760584288
"('triple', 'median', '0.08', 'partcorr', '228', '3')",func,ASE,0.8718152218152219
"('triple', 'median', '0.08', 'partcorr', '228', '0')",func,ASE,0.8733893989661292
"('triple', 'median', '0.08', 'partcorr', '228', '6')",func,ASE,0.8707741060682236
"('kmeans', 'median', '0.08', 'partcorr', '228', '3')",func,ASE,0.8675475623811876
"('kmeans', 'median', '0.08', 'partcorr', '228', '0')",func,ASE,0.8681912681912682
"('kmeans', 'median', '0.08', 'partcorr', '228', '6')",func,ASE,0.8647697356558116
"('triple', 'median', '0.08', 'partcorr', '77', '3')",func,ASE,0.8396223874165051
"('triple', 'median', '0.08', 'partcorr', '77', '0')",func,ASE,0.8137910458239
"('triple', 'median', '0.08', 'partcorr', '77', '6')",func,ASE,0.8548112241294059
"('kmeans', 'median', '0.08', 'partcorr', '77', '3')",func,ASE,0.8442612942612943
"('kmeans', 'median', '0.08', 'partcorr', '77', '0')",func,ASE,0.823704210944567
"('kmeans', 'median', '0.08', 'partcorr', '77', '6')",func,ASE,0.8672561677880827
"('triple', 'median', '0', 'corr', '180', '3')",func,ASE,0.8670978939646072
"('triple', 'median', '0', 'corr', '180', '0')",func,ASE,0.8658431087580886
"('triple', 'median', '0', 'corr', '180', '6')",func,ASE,0.873734660745834
"('kmeans', 'median', '0', 'corr', '180', '3')",func,ASE,0.8823194812849986
"('kmeans', 'median', '0', 'corr', '180', '0')",func,ASE,0.8638438970192523
"('kmeans', 'median', '0', 'corr', '180', '6')",func,ASE,0.8851362093825212
"('triple', 'median', '0', 'corr', '135', '3')",func,ASE,0.8649798179568139
"('triple', 'median', '0', 'corr', '135', '0')",func,ASE,0.8696243891851303
"('triple', 'median', '0', 'corr', '135', '6')",func,ASE,0.8748882197280774
"('kmeans', 'median', '0', 'corr', '135', '3')",func,ASE,0.8821793208952743
"('kmeans', 'median', '0', 'corr', '135', '0')",func,ASE,0.8640288925447708
"('kmeans', 'median', '0', 'corr', '135', '6')",func,ASE,0.8926386283093601
"('triple', 'median', '0', 'corr', '228', '3')",func,ASE,0.871090646442759
"('triple', 'median', '0', 'corr', '228', '0')",func,ASE,0.864653965265794
"('triple', 'median', '0', 'corr', '228', '6')",func,ASE,0.869900524312289
"('kmeans', 'median', '0', 'corr', '228', '3')",func,ASE,0.8744267609784852
"('kmeans', 'median', '0', 'corr', '228', '0')",func,ASE,0.8748078248422838
"('kmeans', 'median', '0', 'corr', '228', '6')",func,ASE,0.8828532305223047
"('triple', 'median', '0', 'corr', '77', '3')",func,ASE,0.8621426466254052
"('triple', 'median', '0', 'corr', '77', '0')",func,ASE,0.8592759829657104
"('triple', 'median', '0', 'corr', '77', '6')",func,ASE,0.86997070459968
"('kmeans', 'median', '0', 'corr', '77', '3')",func,ASE,0.8776938147215225
"('kmeans', 'median', '0', 'corr', '77', '0')",func,ASE,0.8625784511442146
"('kmeans', 'median', '0', 'corr', '77', '6')",func,ASE,0.8869739262144324
"('triple', 'median', '0', 'cov', '180', '3')",func,ASE,0.8585894127766049
"('triple', 'median', '0', 'cov', '180', '0')",func,ASE,0.8621140763997908
"('triple', 'median', '0', 'cov', '180', '6')",func,ASE,0.8710995320632193
"('kmeans', 'median', '0', 'cov', '180', '3')",func,ASE,0.8720717218305089
"('kmeans', 'median', '0', 'cov', '180', '0')",func,ASE,0.8533037475345169
"('kmeans', 'median', '0', 'cov', '180', '6')",func,ASE,0.8811282273570962
"('triple', 'median', '0', 'cov', '135', '3')",func,ASE,0.8604271746835146
"('triple', 'median', '0', 'cov', '135', '0')",func,ASE,0.8653685275861868
"('triple', 'median', '0', 'cov', '135', '6')",func,ASE,0.8663488537134746
"('kmeans', 'median', '0', 'cov', '135', '3')",func,ASE,0.8718620828712572
"('kmeans', 'median', '0', 'cov', '135', '0')",func,ASE,0.8532296483116156
"('kmeans', 'median', '0', 'cov', '135', '6')",func,ASE,0.8876014957264958
"('triple', 'median', '0', 'cov', '228', '3')",func,ASE,0.860756501182033
"('triple', 'median', '0', 'cov', '228', '0')",func,ASE,0.8578433971266501
"('triple', 'median', '0', 'cov', '228', '6')",func,ASE,0.8638987742190589
"('kmeans', 'median', '0', 'cov', '228', '3')",func,ASE,0.868014349946247
"('kmeans', 'median', '0', 'cov', '228', '0')",func,ASE,0.8636749150375985
"('kmeans', 'median', '0', 'cov', '228', '6')",func,ASE,0.8805653130603495
"('triple', 'median', '0', 'cov', '77', '3')",func,ASE,0.8546088854553703
"('triple', 'median', '0', 'cov', '77', '0')",func,ASE,0.8594412123823888
"('triple', 'median', '0', 'cov', '77', '6')",func,ASE,0.863948937415414
"('kmeans', 'median', '0', 'cov', '77', '3')",func,ASE,0.8758072325863542
"('kmeans', 'median', '0', 'cov', '77', '0')",func,ASE,0.8603681433870113
"('kmeans', 'median', '0', 'cov', '77', '6')",func,ASE,0.8866585161688254
"('triple', 'median', '0', 'partcorr', '180', '3')",func,ASE,0.8811965811965813
"('triple', 'median', '0', 'partcorr', '180', '0')",func,ASE,0.885800668574233
"('triple', 'median', '0', 'partcorr', '180', '6')",func,ASE,0.8732852115205056
"('kmeans', 'median', '0', 'partcorr', '180', '3')",func,ASE,0.856951195466742
"('kmeans', 'median', '0', 'partcorr', '180', '0')",func,ASE,0.8608028234893907
"('kmeans', 'median', '0', 'partcorr', '180', '6')",func,ASE,0.8685991427926912
"('triple', 'median', '0', 'partcorr', '135', '3')",func,ASE,0.8820078226857888
"('triple', 'median', '0', 'partcorr', '135', '0')",func,ASE,0.892598308648995
"('triple', 'median', '0', 'partcorr', '135', '6')",func,ASE,0.8733284707026501
"('kmeans', 'median', '0', 'partcorr', '135', '3')",func,ASE,0.8735931491033531
"('kmeans', 'median', '0', 'partcorr', '135', '0')",func,ASE,0.8643406897138239
"('kmeans', 'median', '0', 'partcorr', '135', '6')",func,ASE,0.8657464041000056
"('triple', 'median', '0', 'partcorr', '228', '3')",func,ASE,0.8850219547893967
"('triple', 'median', '0', 'partcorr', '228', '0')",func,ASE,0.8819873185382946
"('triple', 'median', '0', 'partcorr', '228', '6')",func,ASE,0.8731749471186091
"('kmeans', 'median', '0', 'partcorr', '228', '3')",func,ASE,0.8677075399847677
"('kmeans', 'median', '0', 'partcorr', '228', '0')",func,ASE,0.8603413353679028
"('kmeans', 'median', '0', 'partcorr', '228', '6')",func,ASE,0.8631489395378285
"('triple', 'median', '0', 'partcorr', '77', '3')",func,ASE,0.8620117953780343
"('triple', 'median', '0', 'partcorr', '77', '0')",func,ASE,0.8563919527606678
"('triple', 'median', '0', 'partcorr', '77', '6')",func,ASE,0.8730376119100155
"('kmeans', 'median', '0', 'partcorr', '77', '3')",func,ASE,0.8743636448554482
"('kmeans', 'median', '0', 'partcorr', '77', '0')",func,ASE,0.8644540608653122
"('kmeans', 'median', '0', 'partcorr', '77', '6')",func,ASE,0.8825913011851958
"('triple', 'median', '0.028', 'corr', '180', '3')",func,ASE,0.8656104280278653
"('triple', 'median', '0.028', 'corr', '180', '0')",func,ASE,0.861102753540824
"('triple', 'median', '0.028', 'corr', '180', '6')",func,ASE,0.8777286704783286
"('kmeans', 'median', '0.028', 'corr', '180', '3')",func,ASE,0.8752745183253658
"('kmeans', 'median', '0.028', 'corr', '180', '0')",func,ASE,0.8578192001400193
"('kmeans', 'median', '0.028', 'corr', '180', '6')",func,ASE,0.8849920600079129
"('triple', 'median', '0.028', 'corr', '135', '3')",func,ASE,0.8583077961876071
"('triple', 'median', '0.028', 'corr', '135', '0')",func,ASE,0.8521179361739736
"('triple', 'median', '0.028', 'corr', '135', '6')",func,ASE,0.8719267330768032
"('kmeans', 'median', '0.028', 'corr', '135', '3')",func,ASE,0.8768193458458945
"('kmeans', 'median', '0.028', 'corr', '135', '0')",func,ASE,0.8621300059656225
"('kmeans', 'median', '0.028', 'corr', '135', '6')",func,ASE,0.8853777566740532
"('triple', 'median', '0.028', 'corr', '228', '3')",func,ASE,0.8681419037583421
"('triple', 'median', '0.028', 'corr', '228', '0')",func,ASE,0.8600712250712251
"('triple', 'median', '0.028', 'corr', '228', '6')",func,ASE,0.8709431283825746
"('kmeans', 'median', '0.028', 'corr', '228', '3')",func,ASE,0.8744349085258177
"('kmeans', 'median', '0.028', 'corr', '228', '0')",func,ASE,0.8678695145090257
"('kmeans', 'median', '0.028', 'corr', '228', '6')",func,ASE,0.8834153500820168
"('triple', 'median', '0.028', 'corr', '77', '3')",func,ASE,0.8491880043242727
"('triple', 'median', '0.028', 'corr', '77', '0')",func,ASE,0.8550015939178502
"('triple', 'median', '0.028', 'corr', '77', '6')",func,ASE,0.8594722998424164
"('kmeans', 'median', '0.028', 'corr', '77', '3')",func,ASE,0.8722472654419725
"('kmeans', 'median', '0.028', 'corr', '77', '0')",func,ASE,0.8517841474115238
"('kmeans', 'median', '0.028', 'corr', '77', '6')",func,ASE,0.8866591189352384
"('triple', 'median', '0.028', 'cov', '180', '3')",func,ASE,0.8676515537442689
"('triple', 'median', '0.028', 'cov', '180', '0')",func,ASE,0.8662212199671484
"('triple', 'median', '0.028', 'cov', '180', '6')",func,ASE,0.8765762334297109
"('kmeans', 'median', '0.028', 'cov', '180', '3')",func,ASE,0.8751357604948766
"('kmeans', 'median', '0.028', 'cov', '180', '0')",func,ASE,0.8575732579839355
"('kmeans', 'median', '0.028', 'cov', '180', '6')",func,ASE,0.882364873384758
"('triple', 'median', '0.028', 'cov', '135', '3')",func,ASE,0.8570044272691931
"('triple', 'median', '0.028', 'cov', '135', '0')",func,ASE,0.8558364512179774
"('triple', 'median', '0.028', 'cov', '135', '6')",func,ASE,0.8708542774360184
"('kmeans', 'median', '0.028', 'cov', '135', '3')",func,ASE,0.8740964120141498
"('kmeans', 'median', '0.028', 'cov', '135', '0')",func,ASE,0.8556974426539643
"('kmeans', 'median', '0.028', 'cov', '135', '6')",func,ASE,0.8855949536050292
"('triple', 'median', '0.028', 'cov', '228', '3')",func,ASE,0.8698042723350521
"('triple', 'median', '0.028', 'cov', '228', '0')",func,ASE,0.8644976616674731
"('triple', 'median', '0.028', 'cov', '228', '6')",func,ASE,0.8689920424403182
"('kmeans', 'median', '0.028', 'cov', '228', '3')",func,ASE,0.8703487721406398
"('kmeans', 'median', '0.028', 'cov', '228', '0')",func,ASE,0.8719118739652622
"('kmeans', 'median', '0.028', 'cov', '228', '6')",func,ASE,0.8813320825515947
"('triple', 'median', '0.028', 'cov', '77', '3')",func,ASE,0.8523047806227367
"('triple', 'median', '0.028', 'cov', '77', '0')",func,ASE,0.8530280916085554
